catalogue_number,name,srdb_signature,alternative_signatures,country,corpus_region,dating,year_found,place_of_find,find_context,plate_type,material,size,interpreted,main_text_section,main_text_page,appendix_pdf_page
1,Deerness plate,Or 21,,United Kingdom,Outside Scandinavia,"1000–1150 (lV), archaeological dating",2009,"Brough of Deerness, parish of St Andrews and Deerness, Mainland Orkney, Scotland, British Isles",domestic (fortification),A,copper,"65 mm long, 9–10 mm wide, 1 mm thick",False,7.1,263,346
2,Gyldensgård plate,DR NOR2004;8,DK no: Bh 60,Denmark,Danish corpus,"1050–1199 (lV), archaeological dating",2002,"Gyldensgård, Østermarie parish, Bornholm",domestic,fragmentary,bronze,"60 mm long, 12–13 mm wide, 2–3 mm thick",False,6.4.3,260,349
3,Skørrebrovej plate,DR DKBh63,DK no: Bh 63,Denmark,Danish corpus,"1000–1150 (lV), runological dating",2005,"Skørrebrovej, Bornholm",unknown,fragmentary,bronze,"39 mm long, 15 mm wide, 0.5 mm thick",True,6.2.1,254,362
4,Østermarie plate,DR AUD1999;288,DK no: Bh 58,Denmark,Danish corpus,"1000–1125 (lV), archaeological and runological dating",1998,"Englyst, Bornholm",domestic (rural environment),"A, fragmentary",silver,"22 mm long, 20 mm wide, 1 mm thick",True,6.1.1,247,368
5,Roskilde plate,DR 246,DK no: Sj 27,Denmark,Danish corpus,"1050–1100, (lV) runological dating",1866,Roskilde,unknown,A (+copper wire),bronze,"90 mm long, 10–12 mm wide, 1.5 mm thick",True,6.1.2,249,357
6,Lund plate 1,DR Fv1993;226,DK no: SkL 74,Sweden,Danish corpus (historical Denmark/Scania),"1000s (mV), archaeological dating",1990,"Lund, Scania",domestic (urban environment),A (+ metal plaque),most probably copper alloy,"55 mm long, 20 mm wide, 4 mm thick",False,6.3.1,257,356
7,Lund plate 2,DR Fv1988;238,DK no: SkL70,Sweden,Danish corpus (historical Denmark/Scania),"990–1000 (mV), archaeological dating",1984,"the large churchyard which belonged to an earlier stave church, in the ‘St. Clemens’ block, plot 9, Lund, Scania",grave,B,bronze,"40 mm long, 15 mm wide, 1 mm thick",False,6.4.1,259,357
8,Lockarp plate,DR NOR2003;20,DK no: Sk 134,Sweden,Danish corpus (historical Denmark/Scania),"1000–1050, (mV) archaeological dating",2002,"Lockarp, Scania",domestic (rural environment),B,copper,"39 mm long, 14 mm wide, 1 mm thick",False,6.4.2,259,356
9,Uppåkra plate,DR NOR2000;8C,Dk no: Sk 7,Sweden,Danish corpus (historical Denmark/Scania),"1000–1050 (mV), archaeological dating",1999,"Uppåkra, Scania",domestic (urban environment),fragmentary,bronze,"25 mm long, 7 mm wide, 1 mm thick",True,6.2.2,255,366
10,Gorodišče plate 1,RU Melnikova2001;181,,Russia,Outside Scandinavia,"900s (eV), archaeological and runological dating",1983,"Rjurikovo Gorodišče, Novgorod, Russia","domestic (urban environment, fortification)",A (+wire),bronze,"58 mm long, 16–21.5 mm wide, 1 mm thick",True,7.2.1,265,348
